image_id,label
test_1041a,chocolate
test_1041b,water
test_1041c,candy
test_1041d,cereal
test_1042a,spices
test_1042b,juice
test_1042c,water
test_1042d,water
test_1043a,milk
test_1043b,water
test_1043c,cereal
test_1043d,vinegar
test_1044a,water
test_1044b,candy
test_1044c,soda
test_1044d,water
test_1045a,tomatosauce
test_1045b,chocolate
test_1045c,cereal
test_1045d,chocolate
test_1046a,tea
test_1046b,cereal
test_1046c,chocolate
test_1046d,vinegar
test_1047a,spices
test_1047b,water
test_1047c,juice
test_1047d,chocolate
test_1048a,cereal
test_1048b,cereal
test_1048c,water
test_1048d,cereal
test_1049a,milk
test_1049b,candy
test_1049c,chocolate
test_1049d,spices
test_1050a,water
test_1050b,cereal
test_1050c,chocolate
test_1050d,juice
test_1051a,spices
test_1051b,candy
test_1051c,candy
test_1051d,jam
test_1052a,chips
test_1052b,water
test_1052c,water
test_1052d,milk
test_1053a,water
test_1053b,water
test_1053c,water
test_1053d,juice
test_1054a,water
test_1054b,water
test_1054c,cake
test_1054d,water
test_1055a,jam
test_1055b,water
test_1055c,candy
test_1055d,cereal
test_1056a,juice
test_1056b,chips
test_1056c,spices
test_1056d,chocolate
test_1057a,water
test_1057b,water
test_1057c,chips
test_1057d,juice
test_1058a,water
test_1058b,candy
test_1058c,candy
test_1058d,spices
test_1059a,chocolate
test_1059b,water
test_1059c,chocolate
test_1059d,milk
test_1060a,water
test_1060b,vinegar
test_1060c,candy
test_1060d,juice
test_1061a,water
test_1061b,water
test_1061c,oil
test_1061d,water
test_1062a,candy
test_1062b,chocolate
test_1062c,water
test_1062d,juice
test_1063a,cereal
test_1063b,nuts
test_1063c,tea
test_1063d,jam
test_1064a,juice
test_1064b,juice
test_1064c,candy
test_1064d,vinegar
test_1065a,water
test_1065b,cereal
test_1065c,water
test_1065d,water
test_1066a,chocolate
test_1066b,cereal
test_1066c,juice
test_1066d,jam
test_1067a,cereal
test_1067b,cereal
test_1067c,juice
test_1067d,milk
test_1068a,water
test_1068b,honey
test_1068c,tea
test_1068d,water
test_1069a,candy
test_1069b,water
test_1069c,water
test_1069d,juice
test_1070a,water
test_1070b,juice
test_1070c,water
test_1070d,candy
test_1071a,soda
test_1071b,cereal
test_1071c,cereal
test_1071d,cereal
test_1072a,jam
test_1072b,cereal
test_1072c,cereal
test_1072d,water
test_1073a,chocolate
test_1073b,juice
test_1073c,candy
test_1073d,water
test_1074a,cereal
test_1074b,cereal
test_1074c,cereal
test_1074d,spices
test_1075a,cake
test_1075b,water
test_1075c,cereal
test_1075d,cereal
test_1076a,milk
test_1076b,chocolate
test_1076c,cereal
test_1076d,candy
test_1077a,juice
test_1077b,honey
test_1077c,candy
test_1077d,jam
test_1078a,cereal
test_1078b,tea
test_1078c,water
test_1078d,juice
test_1079a,juice
test_1079b,water
test_1079c,water
test_1079d,water
test_1080a,chocolate
test_1080b,water
test_1080c,chocolate
test_1080d,milk
test_1081a,water
test_1081b,chocolate
test_1081c,candy
test_1081d,spices
test_1082a,water
test_1082b,oil
test_1082c,water
test_1082d,cereal
test_1083a,candy
test_1083b,soda
test_1083c,candy
test_1083d,water
test_1084a,jam
test_1084b,water
test_1084c,cereal
test_1084d,candy
test_1085a,water
test_1085b,chocolate
test_1085c,soda
test_1085d,jam
test_1086a,spices
test_1086b,chocolate
test_1086c,chocolate
test_1086d,juice
test_1087a,water
test_1087b,water
test_1087c,water
test_1087d,jam
test_1088a,cereal
test_1088b,chocolate
test_1088c,chocolate
test_1088d,water
test_1089a,water
test_1089b,oil
test_1089c,water
test_1089d,water
test_1090a,juice
test_1090b,jam
test_1090c,water
test_1090d,chips
test_1091a,candy
test_1091b,chocolate
test_1091c,milk
test_1091d,cereal
test_1092a,juice
test_1092b,water
test_1092c,water
test_1092d,cereal
test_1093a,cereal
test_1093b,chocolate
test_1093c,water
test_1093d,oil
test_1094a,jam
test_1094b,water
test_1094c,jam
test_1094d,water
test_1095a,chocolate
test_1095b,chocolate
test_1095c,cereal
test_1095d,jam
test_1096a,candy
test_1096b,juice
test_1096c,candy
test_1096d,candy
test_1097a,soda
test_1097b,soda
test_1097c,water
test_1097d,honey
test_1098a,candy
test_1098b,water
test_1098c,water
test_1098d,juice
test_1099a,chocolate
test_1099b,jam
test_1099c,chocolate
test_1099d,jam
test_1100a,coffee
test_1100b,candy
test_1100c,chocolate
test_1100d,jam
test_1101a,spices
test_1101b,water
test_1101c,chocolate
test_1101d,water
test_1102a,juice
test_1102b,chocolate
test_1102c,water
test_1102d,water
test_1103a,soda
test_1103b,chocolate
test_1103c,chips
test_1103d,water
test_1104a,jam
test_1104b,water
test_1104c,soda
test_1104d,water
test_1105a,chocolate
test_1105b,water
test_1105c,jam
test_1105d,chocolate
test_1106a,cereal
test_1106b,jam
test_1106c,cereal
test_1106d,candy
test_1107a,candy
test_1107b,candy
test_1107c,chocolate
test_1107d,vinegar
test_1108a,jam
test_1108b,juice
test_1108c,candy
test_1108d,jam
test_1109a,cereal
test_1109b,candy
test_1109c,juice
test_1109d,water
test_1110a,soda
test_1110b,tomatosauce
test_1110c,water
test_1110d,chocolate
test_1111a,water
test_1111b,nuts
test_1111c,water
test_1111d,chocolate
test_1112a,cereal
test_1112b,cereal
test_1112c,jam
test_1112d,water
test_1113a,cereal
test_1113b,cereal
test_1113c,candy
test_1113d,juice
test_1114a,water
test_1114b,water
test_1114c,honey
test_1114d,chocolate
test_1115a,nuts
test_1115b,beans
test_1115c,candy
test_1115d,candy
test_1116a,cereal
test_1116b,water
test_1116c,pasta
test_1116d,candy
test_1117a,candy
test_1117b,water
test_1117c,water
test_1117d,water
test_1118a,cake
test_1118b,cereal
test_1118c,tomatosauce
test_1118d,tea
test_1119a,jam
test_1119b,water
test_1119c,water
test_1119d,chocolate
test_1120a,cereal
test_1120b,soda
test_1120c,cereal
test_1120d,soda
test_1121a,vinegar
test_1121b,milk
test_1121c,cake
test_1121d,juice
test_1122a,candy
test_1122b,jam
test_1122c,vinegar
test_1122d,candy
test_1123a,water
test_1123b,chocolate
test_1123c,jam
test_1123d,jam
test_1124a,water
test_1124b,water
test_1124c,oil
test_1124d,water
test_1125a,cereal
test_1125b,tea
test_1125c,water
test_1125d,candy
test_1126a,juice
test_1126b,water
test_1126c,candy
test_1126d,water
test_1127a,juice
test_1127b,juice
test_1127c,oil
test_1127d,candy
test_1128a,jam
test_1128b,nuts
test_1128c,milk
test_1128d,chocolate
test_1129a,candy
test_1129b,nuts
test_1129c,vinegar
test_1129d,soda
test_1130a,jam
test_1130b,milk
test_1130c,water
test_1130d,jam
test_1131a,water
test_1131b,juice
test_1131c,water
test_1131d,chocolate
test_1132a,water
test_1132b,candy
test_1132c,water
test_1132d,cereal
test_1133a,water
test_1133b,tea
test_1133c,tea
test_1133d,tea
test_1134a,spices
test_1134b,jam
test_1134c,soda
test_1134d,candy
test_1135a,water
test_1135b,soda
test_1135c,cereal
test_1135d,water
test_1136a,cereal
test_1136b,candy
test_1136c,chocolate
test_1136d,water
test_1137a,cereal
test_1137b,milk
test_1137c,chocolate
test_1137d,chocolate
test_1138a,jam
test_1138b,jam
test_1138c,water
test_1138d,candy
test_1139a,juice
test_1139b,juice
test_1139c,candy
test_1139d,cereal
test_1140a,cereal
test_1140b,water
test_1140c,chocolate
test_1140d,water
test_1141a,tomatosauce
test_1141b,spices
test_1141c,nuts
test_1141d,candy
test_1142a,jam
test_1142b,cereal
test_1142c,water
test_1142d,cereal
test_1143a,water
test_1143b,jam
test_1143c,juice
test_1143d,candy
test_1144a,cereal
test_1144b,water
test_1144c,water
test_1144d,juice
test_1145a,spices
test_1145b,juice
test_1145c,juice
test_1145d,juice
test_1146a,water
test_1146b,candy
test_1146c,water
test_1146d,juice
test_1147a,chocolate
test_1147b,water
test_1147c,cereal
test_1147d,water
test_1148a,water
test_1148b,water
test_1148c,cereal
test_1148d,jam
test_1149a,candy
test_1149b,water
test_1149c,cereal
test_1149d,candy
test_1150a,jam
test_1150b,water
test_1150c,water
test_1150d,water
test_1151a,coffee
test_1151b,water
test_1151c,water
test_1151d,water
test_1152a,jam
test_1152b,spices
test_1152c,water
test_1152d,cereal
test_1153a,water
test_1153b,candy
test_1153c,spices
test_1153d,jam
test_1154a,water
test_1154b,cereal
test_1154c,water
test_1154d,milk
test_1155a,cereal
test_1155b,cake
test_1155c,candy
test_1155d,jam
test_1156a,milk
test_1156b,spices
test_1156c,oil
test_1156d,water
test_1157a,juice
test_1157b,cereal
test_1157c,jam
test_1157d,tomatosauce
test_1158a,chocolate
test_1158b,juice
test_1158c,water
test_1158d,water
test_1159a,cereal
test_1159b,spices
test_1159c,tea
test_1159d,candy
test_1160a,cereal
test_1160b,cereal
test_1160c,water
test_1160d,water
test_1161a,candy
test_1161b,water
test_1161c,juice
test_1161d,juice
test_1162a,water
test_1162b,water
test_1162c,cereal
test_1162d,candy
test_1163a,cereal
test_1163b,water
test_1163c,cereal
test_1163d,cereal
test_1164a,soda
test_1164b,water
test_1164c,water
test_1164d,candy
test_1165a,water
test_1165b,water
test_1165c,chocolate
test_1165d,jam
test_1166a,water
test_1166b,coffee
test_1166c,candy
test_1166d,juice
test_1167a,chips
test_1167b,water
test_1167c,milk
test_1167d,nuts
test_1168a,spices
test_1168b,chocolate
test_1168c,soda
test_1168d,chocolate
test_1169a,cereal
test_1169b,cereal
test_1169c,cereal
test_1169d,water
test_1170a,juice
test_1170b,juice
test_1170c,cereal
test_1170d,milk
test_1171a,milk
test_1171b,cereal
test_1171c,water
test_1171d,candy
test_1172a,juice
test_1172b,candy
test_1172c,chocolate
test_1172d,juice
test_1173a,cereal
test_1173b,juice
test_1173c,water
test_1173d,juice
test_1174a,water
test_1174b,candy
test_1174c,water
test_1174d,water
test_1175a,cereal
test_1175b,juice
test_1175c,milk
test_1175d,chips
test_1176a,juice
test_1176b,juice
test_1176c,milk
test_1176d,tea
test_1177a,water
test_1177b,chips
test_1177c,candy
test_1177d,soda
test_1178a,cereal
test_1178b,water
test_1178c,jam
test_1178d,candy
test_1179a,jam
test_1179b,jam
test_1179c,jam
test_1179d,milk
test_1180a,cereal
test_1180b,water
test_1180c,juice
test_1180d,spices
test_1181a,water
test_1181b,spices
test_1181c,juice
test_1181d,chocolate
test_1182a,jam
test_1182b,soda
test_1182c,candy
test_1182d,water
test_1183a,coffee
test_1183b,water
test_1183c,cereal
test_1183d,chocolate
test_1184a,water
test_1184b,soda
test_1184c,water
test_1184d,candy
test_1185a,chocolate
test_1185b,chocolate
test_1185c,candy
test_1185d,cereal
test_1186a,water
test_1186b,juice
test_1186c,water
test_1186d,juice
test_1187a,water
test_1187b,cereal
test_1187c,cereal
test_1187d,candy
test_1188a,water
test_1188b,jam
test_1188c,oil
test_1188d,water
test_1189a,tea
test_1189b,coffee
test_1189c,candy
test_1189d,cereal
test_1190a,milk
test_1190b,chocolate
test_1190c,water
test_1190d,water
test_1191a,juice
test_1191b,chocolate
test_1191c,cereal
test_1191d,honey
test_1192a,chocolate
test_1192b,cereal
test_1192c,jam
test_1192d,nuts
test_1193a,water
test_1193b,tomatosauce
test_1193c,chocolate
test_1193d,juice
test_1194a,spices
test_1194b,cereal
test_1194c,water
test_1194d,chocolate
test_1195a,cereal
test_1195b,water
test_1195c,chocolate
test_1195d,milk
test_1196a,spices
test_1196b,candy
test_1196c,cereal
test_1196d,cereal
test_1197a,jam
test_1197b,soda
test_1197c,water
test_1197d,cereal
test_1198a,soda
test_1198b,chocolate
test_1198c,spices
test_1198d,chocolate
test_1199a,juice
test_1199b,cereal
test_1199c,water
test_1199d,oil
test_1200a,water
test_1200b,water
test_1200c,tea
test_1200d,candy
test_1201a,spices
test_1201b,chips
test_1201c,jam
test_1201d,vinegar
test_1202a,cereal
test_1202b,coffee
test_1202c,juice
test_1202d,cereal
test_1203a,cereal
test_1203b,candy
test_1203c,water
test_1203d,tea
test_1204a,water
test_1204b,water
test_1204c,candy
test_1204d,cereal
test_1205a,water
test_1205b,water
test_1205c,water
test_1205d,jam
test_1206a,candy
test_1206b,water
test_1206c,water
test_1206d,juice
test_1207a,chocolate
test_1207b,water
test_1207c,candy
test_1207d,water
test_1208a,candy
test_1208b,water
test_1208c,chips
test_1208d,soda
test_1209a,water
test_1209b,jam
test_1209c,water
test_1209d,juice
test_1210a,water
test_1210b,chocolate
test_1210c,cereal
test_1210d,water
test_1211a,jam
test_1211b,jam
test_1211c,juice
test_1211d,honey
test_1212a,honey
test_1212b,juice
test_1212c,chocolate
test_1212d,jam
test_1213a,water
test_1213b,cereal
test_1213c,cereal
test_1213d,juice
test_1214a,soda
test_1214b,juice
test_1214c,chocolate
test_1214d,jam
test_1215a,nuts
test_1215b,candy
test_1215c,candy
test_1215d,milk
test_1216a,vinegar
test_1216b,cereal
test_1216c,water
test_1216d,jam
test_1217a,water
test_1217b,chocolate
test_1217c,chocolate
test_1217d,chocolate
test_1218a,candy
test_1218b,cereal
test_1218c,candy
test_1218d,candy
test_1219a,cereal
test_1219b,cereal
test_1219c,water
test_1219d,soda
test_1220a,soda
test_1220b,water
test_1220c,chocolate
test_1220d,juice
test_1221a,milk
test_1221b,water
test_1221c,cereal
test_1221d,vinegar
test_1222a,cereal
test_1222b,water
test_1222c,water
test_1222d,chips
test_1223a,water
test_1223b,candy
test_1223c,candy
test_1223d,chocolate
test_1224a,candy
test_1224b,water
test_1224c,vinegar
test_1224d,jam
test_1225a,milk
test_1225b,water
test_1225c,cereal
test_1225d,water
test_1226a,spices
test_1226b,candy
test_1226c,water
test_1226d,water
test_1227a,water
test_1227b,cereal
test_1227c,cereal
test_1227d,cereal
test_1228a,candy
test_1228b,water
test_1228c,juice
test_1228d,water
test_1229a,cereal
test_1229b,jam
test_1229c,water
test_1229d,spices
test_1230a,water
test_1230b,juice
test_1230c,water
test_1230d,water
test_1231a,soda
test_1231b,soda
test_1231c,cereal
test_1231d,soda
test_1232a,cereal
test_1232b,water
test_1232c,water
test_1232d,soda
test_1233a,juice
test_1233b,nuts
test_1233c,chocolate
test_1233d,soda
test_1234a,soda
test_1234b,candy
test_1234c,water
test_1234d,chocolate
test_1235a,cereal
test_1235b,candy
test_1235c,nuts
test_1235d,water
test_1236a,chocolate
test_1236b,cereal
test_1236c,water
test_1236d,jam
test_1237a,vinegar
test_1237b,juice
test_1237c,coffee
test_1237d,water
test_1238a,candy
test_1238b,water
test_1238c,cereal
test_1238d,candy
test_1239a,candy
test_1239b,water
test_1239c,juice
test_1239d,candy
test_1240a,juice
test_1240b,cereal
test_1240c,candy
test_1240d,chocolate
test_1241a,chocolate
test_1241b,water
test_1241c,candy
test_1241d,nuts
test_1242a,cereal
test_1242b,water
test_1242c,water
test_1242d,water
test_1243a,water
test_1243b,cereal
test_1243c,water
test_1243d,cereal
test_1244a,water
test_1244b,candy
test_1244c,candy
test_1244d,vinegar
test_1245a,jam
test_1245b,water
test_1245c,juice
test_1245d,milk
test_1246a,chocolate
test_1246b,spices
test_1246c,jam
test_1246d,candy
test_1247a,water
test_1247b,water
test_1247c,jam
test_1247d,jam
test_1248a,coffee
test_1248b,juice
test_1248c,candy
test_1248d,chips
test_1249a,juice
test_1249b,water
test_1249c,juice
test_1249d,candy
test_1250a,nuts
test_1250b,cereal
test_1250c,jam
test_1250d,tea
test_1251a,water
test_1251b,water
test_1251c,water
test_1251d,juice
test_1252a,candy
test_1252b,tea
test_1252c,candy
test_1252d,jam
test_1253a,candy
test_1253b,jam
test_1253c,water
test_1253d,cereal
test_1254a,water
test_1254b,water
test_1254c,candy
test_1254d,juice
test_1255a,water
test_1255b,chips
test_1255c,chocolate
test_1255d,chocolate
test_1256a,cereal
test_1256b,cereal
test_1256c,coffee
test_1256d,juice
test_1257a,water
test_1257b,cereal
test_1257c,jam
test_1257d,tea
test_1258a,chocolate
test_1258b,juice
test_1258c,cereal
test_1258d,soda
test_1259a,water
test_1259b,water
test_1259c,coffee
test_1259d,candy
test_1260a,coffee
test_1260b,oil
test_1260c,milk
test_1260d,candy
test_1261a,juice
test_1261b,cereal
test_1261c,candy
test_1261d,juice
test_1262a,milk
test_1262b,milk
test_1262c,jam
test_1262d,juice
test_1263a,chocolate
test_1263b,candy
test_1263c,milk
test_1263d,cereal
test_1264a,water
test_1264b,milk
test_1264c,cereal
test_1264d,water
test_1265a,jam
test_1265b,water
test_1265c,spices
test_1265d,chocolate
test_1266a,juice
test_1266b,vinegar
test_1266c,chocolate
test_1266d,chocolate
test_1267a,cereal
test_1267b,milk
test_1267c,jam
test_1267d,chocolate
test_1268a,cereal
test_1268b,juice
test_1268c,milk
test_1268d,cereal
test_1269a,cereal
test_1269b,water
test_1269c,chocolate
test_1269d,water
test_1270a,soda
test_1270b,candy
test_1270c,cereal
test_1270d,candy
test_1271a,water
test_1271b,water
test_1271c,juice
test_1271d,jam
test_1272a,water
test_1272b,jam
test_1272c,candy
test_1272d,chocolate
test_1273a,vinegar
test_1273b,tomatosauce
test_1273c,water
test_1273d,cereal
test_1274a,water
test_1274b,cereal
test_1274c,jam
test_1274d,candy
test_1275a,jam
test_1275b,juice
test_1275c,chocolate
test_1275d,chocolate
test_1276a,candy
test_1276b,spices
test_1276c,cereal
test_1276d,chocolate
test_1277a,tea
test_1277b,cereal
test_1277c,chocolate
test_1277d,candy
test_1278a,water
test_1278b,candy
test_1278c,candy
test_1278d,chocolate
test_1279a,water
test_1279b,candy
test_1279c,candy
test_1279d,water
test_1280a,cereal
test_1280b,milk
test_1280c,jam
test_1280d,cereal
test_1281a,milk
test_1281b,water
test_1281c,cereal
test_1281d,juice
test_1282a,juice
test_1282b,coffee
test_1282c,chocolate
test_1282d,candy
test_1283a,water
test_1283b,water
test_1283c,jam
test_1283d,milk
test_1284a,chocolate
test_1284b,jam
test_1284c,soda
test_1284d,water
test_1285a,tea
test_1285b,water
test_1285c,juice
test_1285d,water
test_1286a,water
test_1286b,candy
test_1286c,chocolate
test_1286d,spices
test_1287a,chocolate
test_1287b,cereal
test_1287c,candy
test_1287d,water
test_1288a,vinegar
test_1288b,water
test_1288c,juice
test_1288d,candy
test_1289a,cereal
test_1289b,chocolate
test_1289c,water
test_1289d,chocolate
test_1290a,water
test_1290b,milk
test_1290c,milk
test_1290d,cereal
test_1291a,water
test_1291b,water
test_1291c,chocolate
test_1291d,water
test_1292a,candy
test_1292b,chocolate
test_1292c,chocolate
test_1292d,water
test_1293a,water
test_1293b,chocolate
test_1293c,candy
test_1293d,spices
test_1294a,water
test_1294b,cereal
test_1294c,candy
test_1294d,water
test_1295a,candy
test_1295b,water
test_1295c,chips
test_1295d,chocolate
test_1296a,cereal
test_1296b,water
test_1296c,chips
test_1296d,oil
test_1297a,water
test_1297b,honey
test_1297c,chips
test_1297d,jam
test_1298a,water
test_1298b,juice
test_1298c,juice
test_1298d,candy
test_1299a,cereal
test_1299b,water
test_1299c,juice
test_1299d,juice
test_1300a,juice
test_1300b,juice
test_1300c,chocolate
test_1300d,water
test_1301a,jam
test_1301b,candy
test_1301c,juice
test_1301d,cereal
test_1302a,chocolate
test_1302b,soda
test_1302c,jam
test_1302d,soda
test_1303a,water
test_1303b,candy
test_1303c,candy
test_1303d,soda
test_1304a,water
test_1304b,milk
test_1304c,soda
test_1304d,spices
test_1305a,jam
test_1305b,cereal
test_1305c,cereal
test_1305d,cereal
test_1306a,juice
test_1306b,jam
test_1306c,cereal
test_1306d,water
test_1307a,candy
test_1307b,chips
test_1307c,water
test_1307d,candy
test_1308a,water
test_1308b,water
test_1308c,water
test_1308d,water
test_1309a,cereal
test_1309b,juice
test_1309c,candy
test_1309d,chocolate
test_1310a,juice
test_1310b,jam
test_1310c,jam
test_1310d,jam
test_1311a,cereal
test_1311b,milk
test_1311c,oil
test_1311d,water
test_1312a,tea
test_1312b,chocolate
test_1312c,water
test_1312d,water
test_1313a,water
test_1313b,juice
test_1313c,soda
test_1313d,spices
test_1314a,chocolate
test_1314b,water
test_1314c,cereal
test_1314d,cereal
test_1315a,water
test_1315b,water
test_1315c,water
test_1315d,water
test_1316a,juice
test_1316b,nuts
test_1316c,water
test_1316d,soda
test_1317a,jam
test_1317b,vinegar
test_1317c,jam
test_1317d,candy
test_1318a,chocolate
test_1318b,water
test_1318c,candy
test_1318d,water
test_1319a,juice
test_1319b,cereal
test_1319c,tea
test_1319d,water
test_1320a,juice
test_1320b,water
test_1320c,soda
test_1320d,candy
test_1321a,chocolate
test_1321b,candy
test_1321c,jam
test_1321d,tea
test_1322a,water
test_1322b,chocolate
test_1322c,chips
test_1322d,cereal
test_1323a,water
test_1323b,juice
test_1323c,milk
test_1323d,water
test_1324a,juice
test_1324b,water
test_1324c,vinegar
test_1324d,candy
test_1325a,cereal
test_1325b,water
test_1325c,cereal
test_1325d,water
test_1326a,vinegar
test_1326b,chocolate
test_1326c,cereal
test_1326d,water
test_1327a,cereal
test_1327b,water
test_1327c,candy
test_1327d,water
test_1328a,juice
test_1328b,juice
test_1328c,candy
test_1328d,honey
test_1329a,jam
test_1329b,cereal
test_1329c,water
test_1329d,cereal
test_1330a,water
test_1330b,water
test_1330c,chocolate
test_1330d,soda
test_1331a,water
test_1331b,water
test_1331c,jam
test_1331d,chocolate
test_1332a,nuts
test_1332b,juice
test_1332c,water
test_1332d,chips
test_1333a,water
test_1333b,juice
test_1333c,water
test_1333d,water
test_1334a,candy
test_1334b,candy
test_1334c,spices
test_1334d,juice
test_1335a,water
test_1335b,soda
test_1335c,spices
test_1335d,water
test_1336a,water
test_1336b,jam
test_1336c,candy
test_1336d,beans
test_1337a,water
test_1337b,soda
test_1337c,water
test_1337d,spices
test_1338a,cereal
test_1338b,juice
test_1338c,cereal
test_1338d,candy
test_1339a,water
test_1339b,oil
test_1339c,candy
test_1339d,candy
test_1340a,candy
test_1340b,nuts
test_1340c,cereal
test_1340d,chips
test_1341a,water
test_1341b,water
test_1341c,water
test_1341d,juice
test_1342a,juice
test_1342b,tea
test_1342c,water
test_1342d,soda
test_1343a,candy
test_1343b,candy
test_1343c,chocolate
test_1343d,water
test_1344a,juice
test_1344b,water
test_1344c,cereal
test_1344d,cereal
test_1345a,cereal
test_1345b,cereal
test_1345c,water
test_1345d,candy
test_1346a,cereal
test_1346b,water
test_1346c,cereal
test_1346d,nuts
test_1347a,cereal
test_1347b,jam
test_1347c,milk
test_1347d,cereal
test_1348a,juice
test_1348b,candy
test_1348c,candy
test_1348d,water
test_1349a,milk
test_1349b,cereal
test_1349c,chocolate
test_1349d,honey
test_1350a,candy
test_1350b,water
test_1350c,chocolate
test_1350d,candy
test_1351a,soda
test_1351b,water
test_1351c,tomatosauce
test_1351d,candy
test_1352a,water
test_1352b,water
test_1352c,water
test_1352d,candy
test_1353a,juice
test_1353b,candy
test_1353c,candy
test_1353d,water
test_1354a,tea
test_1354b,water
test_1354c,oil
test_1354d,water
test_1355a,candy
test_1355b,spices
test_1355c,candy
test_1355d,tea
test_1356a,cereal
test_1356b,juice
test_1356c,water
test_1356d,candy
test_1357a,water
test_1357b,jam
test_1357c,jam
test_1357d,jam
test_1358a,milk
test_1358b,candy
test_1358c,water
test_1358d,cereal
test_1359a,chocolate
test_1359b,tomatosauce
test_1359c,juice
test_1359d,water
test_1360a,candy
test_1360b,candy
test_1360c,honey
test_1360d,water
test_1361a,cereal
test_1361b,cereal
test_1361c,spices
test_1361d,chocolate
test_1362a,juice
test_1362b,cereal
test_1362c,soda
test_1362d,jam
test_1363a,oil
test_1363b,cereal
test_1363c,milk
test_1363d,candy
test_1364a,candy
test_1364b,water
test_1364c,chocolate
test_1364d,jam
test_1365a,spices
test_1365b,water
test_1365c,juice
test_1365d,water
test_1366a,cereal
test_1366b,water
test_1366c,cereal
test_1366d,chocolate
test_1367a,water
test_1367b,cereal
test_1367c,chocolate
test_1367d,soda
test_1368a,coffee
test_1368b,candy
test_1368c,water
test_1368d,spices
test_1369a,oil
test_1369b,chocolate
test_1369c,soda
test_1369d,juice
test_1370a,water
test_1370b,juice
test_1370c,milk
test_1370d,candy
test_1371a,water
test_1371b,cereal
test_1371c,oil
test_1371d,soda
test_1372a,tomatosauce
test_1372b,water
test_1372c,water
test_1372d,honey
test_1373a,juice
test_1373b,cereal
test_1373c,milk
test_1373d,water
test_1374a,chocolate
test_1374b,candy
test_1374c,water
test_1374d,tea
test_1375a,candy
test_1375b,juice
test_1375c,water
test_1375d,chips
test_1376a,cereal
test_1376b,cereal
test_1376c,water
test_1376d,cereal
test_1377a,chocolate
test_1377b,chips
test_1377c,cereal
test_1377d,water
test_1378a,chocolate
test_1378b,tomatosauce
test_1378c,candy
test_1378d,milk
test_1379a,chocolate
test_1379b,juice
test_1379c,cereal
test_1379d,soda
test_1380a,chocolate
test_1380b,water
test_1380c,coffee
test_1380d,oil
test_1381a,chips
test_1381b,water
test_1381c,water
